group,metric,value,unit
framing,studs_total,273,piece
plates,lf_with_waste,1089.9273,ft
plates,pieces,91,piece
sheathing,area,0.0,sqft
sheathing,sheets,0,sheet
drywall,area,5284.496,sqft
drywall,sheets,122,sheet
insulation,area,0.0,sqft
insulation,packs,0,pack
fasteners,stud_nails,2184,each
fasteners,sheath_fasteners,0,each
fasteners,drywall_screws,3904,each
materials,studs_material,887.25,currency
materials,plates_material,282.1,currency
materials,sheathing_material,0.0,currency
materials,drywall_material,1769.0,currency
materials,insulation_material,0.0,currency
materials,nails_material,21.84,currency
materials,screws_material,58.559999999999995,currency
labor,frame,409.5,currency
labor,sheathing,0.0,currency
labor,drywall,1037.0,currency
labor,insulation,0.0,currency
totals,materials_cost_subtotal,3018.75,currency
totals,labor_cost_subtotal,1446.5,currency
totals,grand_total,4465.25,currency
